,Age,Overall,Potential,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,PrefPos_9.0,PrefPos_6.0,PrefPos_10.0,PrefPos_3.0,PrefPos_0.0,PrefPos_4.0,PrefPos_2.0,PrefPos_8.0,PrefPos_7.0,PrefPos_5.0,PrefPos_1.0,PrefPos
0,30,93,93,565000,2154,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85,92,45,59,92,84,92,57,45,84,59,92,90,88,91,62,92,57,45,84,59,92,90,88,91,62,88,1,0,0,0,0,0,0,0,0,0,0,RW 
1,25,92,94,280000,2100,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,88,59,46,79,59,88,87,84,89,64,88,59,46,79,59,88,87,84,89,64,84,0,1,0,0,0,0,0,0,0,0,0,LW 
2,30,92,92,510000,2291,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88,87,58,65,88,80,87,64,58,80,65,88,85,88,87,68,87,64,58,80,65,88,85,88,87,68,88,0,0,1,0,0,0,0,0,0,0,0,ST 
3,31,92,92,230000,1493,58,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK 
4,26,90,92,215000,1458,57,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK 
5,28,91,91,355000,2143,79,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87,84,57,62,87,78,84,58,57,78,62,87,82,88,84,61,84,58,57,78,62,87,82,88,84,61,88,0,0,1,0,0,0,0,0,0,0,0,ST 
6,26,90,91,295000,2096,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79,88,47,61,87,81,88,59,47,81,61,87,87,82,88,64,88,59,47,81,61,87,87,82,88,64,82,0,1,0,0,0,0,0,0,0,0,0,LW 
7,28,88,88,215000,2038,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,89,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60,71,85,83,69,77,71,80,85,77,83,69,70,69,68,78,71,80,85,77,83,69,70,69,68,78,69,0,0,0,0,1,0,0,0,0,0,0,CB 
8,29,90,90,275000,1961,78,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88,81,46,52,84,71,81,51,46,71,52,84,79,87,82,55,81,51,46,71,52,84,79,87,82,55,87,0,0,1,0,0,0,0,0,0,0,0,ST 
9,31,90,90,310000,2153,75,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66,70,87,83,70,74,70,84,87,74,83,70,71,72,69,81,70,84,87,74,83,70,71,72,69,81,72,0,0,0,0,1,0,0,0,0,0,0,CB 
10,24,88,93,82000,1290,43,34,67,49,16,55,13,13,12,11,14,84,90,77,87,84,15,19,76,26,12,14,11,11,84,29,22,18,60,41,12,78,55,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK 
11,25,89,92,190000,1282,46,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK 
12,29,89,89,325000,2074,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85,44,54,87,75,85,52,44,75,54,87,84,86,86,57,85,52,44,75,54,87,84,86,86,57,86,0,0,1,0,0,0,0,0,0,0,0,ST 
